Nombre de la loción,Marca/Fabricante,Descripción del aroma,Ocasión Principal,Ocasión Secundaria,Categoría,Estación Recomendada,Momento del Día,Intensidad (1-10),Duración Estimada,Contenido (Mililitro),Precio de venta,Disponible,URL Imagen (Descargable)
ONE MILLION,Paco Rabanne,dulce-amaderado,Noche/Seducción,Citas/Elegante,HOMBRE,Otoño-Invierno,Noche,8,7-9 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
INVICTUS,Paco Rabanne,cítrico-marino,Noche/Seducción,Citas/Elegante,HOMBRE,Primavera-Verano,Día,8,7-9 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
BLACK XS APHRODISIAQUE,Paco Rabanne,dulce-amielado,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1588405748880-12d1d2a59d32?w=300&h=400&fit=crop
SAUVAGE,Dior,cítrico-ambar,Noche/Seducción,Citas/Elegante,HOMBRE,Primavera-Verano,Día,8,7-9 horas,100,60000,SI,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?w=300&h=400&fit=crop
INVICTUS VICTORY ELIXIR,Paco Rabanne,vainillado-ámbar,Noche/Seducción,Citas/Elegante,HOMBRE,Otoño-Invierno,Noche,8,7-9 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
CREED SILVER,Creed,cítrico-aromático,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
212 MEN NYC,Carolina Herrera,cítrico,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
212 VIP BLACK,Carolina Herrera,aromático-vainillado,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
BAD BOY,Hugo Boss,amaderado,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1588405748880-12d1d2a59d32?w=300&h=400&fit=crop
UNLIMITED,Hugo Boss,cítrico,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
HUGO BOSS BOTTLED,Hugo Boss,amaderado-afrutado,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
BOSS NIGHT,Hugo Boss,cítrico-amaderado,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
HUGO MAN,Hugo Boss,aromática-fresco,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
HUGO RED,Hugo Boss,dulce,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
BLACK L'EXCES,Versace,cítrico-amaderado,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
VERSACE EROS,Versace,vainillado-aromático,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
EROS FLAME,Versace,amaderada-canela,Uso general,Casual,HOMBRE,Todo el año,Día,5,4-6 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
FRAICHE,Lacoste,cítrico,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
LACOSTE RED,Lacoste,cítrico-amaderado,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
STARRY NIGHTS,Diesel,cítrico-atalcado,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,120,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
ONLY THE BRAVE TATTOO,Diesel,afrutado-tabaco,Casual,Deportivo,HOMBRE,Primavera-Verano,Día,5,4-6 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
ONLY THE BRAVE,Diesel,ámbar-cítrico,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,75,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
PARIS MEN,Issey Miyake,tropical,Vacaciones/Playa,Casual/Weekend,HOMBRE,Verano,Día,6,4-6 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
ISSEY MIYAKE,Issey Miyake,cítrico,Oficina/Trabajo,Casual/Día,HOMBRE,Primavera-Verano,Día,4,3-5 horas,125,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
FAHRENHEIT,Dior,amaderado,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
BLEU CHANEL,Chanel,cítrico,Elegante/Lujo,Formal/Eventos,HOMBRE,Primavera-Verano,Día,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
POLO BLUE,Ralph Lauren,cítrico,Oficina/Trabajo,Deportivo/Casual,HOMBRE,Primavera-Verano,Día,4,3-5 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
JEAN PAUL GAULTIER,Jean Paul Gaultier,vainillado,Casual/Noche,Citas,HOMBRE,Otoño-Invierno,Noche,7,6-8 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
LEGEND SPIRIT,Jean Paul Gaultier,amaderado,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=300&h=400&fit=crop
INVICTUS INTENSE,Paco Rabanne,ámbar,Noche/Seducción,Citas/Elegante,HOMBRE,Otoño-Invierno,Día/Noche,8,7-9 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
INVICTUS LEGEND,Paco Rabanne,marino-aromático,Noche/Seducción,Citas/Elegante,HOMBRE,Primavera-Verano,Día,8,7-9 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
MILLION PRIVE,Paco Rabanne,amaderado-canela,Elegante/Formal,Oficina,HOMBRE,Otoño-Invierno,Día/Noche,6,5-7 horas,100,60000,SI,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=300&h=400&fit=crop
